race_distance,race_purse,field_size,track_surface,track_condition,weather_condition,temperature,humidity,wind_speed,total_pool,horse_age,horse_earnings,horse_win_rate,horse_place_rate,horse_show_rate,jockey,trainer,recent_races_count,recent_wins,recent_places,recent_avg_position,recent_avg_earnings,days_since_last_race,dirt_win_rate,turf_win_rate,horse_id,race_id,position,finish_time,earnings,won,placed,jockey_encoded,trainer_encoded,track_surface_encoded,track_condition_encoded,weather_condition_encoded
1600,85000.0,15,All Weather,Heavy,Clear,20,75,24,97604,2,378509.31,0.13333333333333333,0.36666666666666664,0.36666666666666664,I. Ortiz Jr.,J. Sharp,5,1,2,4.6,18744.024,-269,0.0,1.0,20,1000,3,101.17,8500.0,0,1,11,20,0,3,0
1600,85000.0,15,All Weather,Heavy,Clear,20,75,24,97604,3,466341.23999999993,0.2,0.5714285714285714,0.5714285714285714,G. Stevens,A. Delacour,5,2,4,2.4,23287.764,-276,0.5,0.0,150,1000,7,101.79,0.0,0,0,9,0,0,3,0
1600,85000.0,15,All Weather,Heavy,Clear,20,75,24,97604,7,640668.46,0.25,0.4642857142857143,0.4642857142857143,C. Nakatani,D. Romans,5,0,2,4.2,7915.304000000001,-281,0.0,0.0,153,1000,15,104.78,0.0,0,0,3,10,0,3,0
1600,85000.0,15,All Weather,Heavy,Clear,20,75,24,97604,3,469508.89999999997,0.16,0.68,0.68,M. Franco,C. Brown,5,2,3,4.0,17790.35,-263,1.0,0.0,89,1000,1,100.27,51000.0,1,1,25,5,0,3,0
1600,85000.0,15,All Weather,Heavy,Clear,20,75,24,97604,6,369704.04000000004,0.375,0.625,0.625,J. Velazquez,M. Casse,5,1,1,7.4,4644.683999999999,-271,0.5,0.0,84,1000,13,102.47,0.0,0,0,18,26,0,3,0
1600,85000.0,15,All Weather,Heavy,Clear,20,75,24,97604,2,346974.29000000004,0.09090909090909091,0.45454545454545453,0.45454545454545453,J. Velazquez,G. Motion,5,0,2,7.0,4949.494,-274,0.0,0.0,144,1000,9,102.7,0.0,0,0,18,15,0,3,0
1600,85000.0,15,All Weather,Heavy,Clear,20,75,24,97604,2,495212.7100000001,0.1891891891891892,0.5135135135135135,0.5135135135135135,G. Stevens,S. Asmussen,5,2,3,5.8,12199.423999999997,-269,0.0,1.0,51,1000,10,101.53,0.0,0,0,9,33,0,3,0
1600,85000.0,15,All Weather,Heavy,Clear,20,75,24,97604,6,394868.1,0.0,0.4090909090909091,0.4090909090909091,C. Lopez,M. Casse,5,0,1,7.8,5669.163999999999,-281,0.0,0.0,55,1000,14,103.16,0.0,0,0,2,26,0,3,0
1600,85000.0,15,All Weather,Heavy,Clear,20,75,24,97604,6,421298.24000000005,0.17857142857142858,0.5357142857142857,0.5357142857142857,H. Diaz Jr.,I. Wilkes,5,2,3,5.0,44491.736,-281,0.0,0.0,54,1000,8,101.49,0.0,0,0,10,18,0,3,0
1600,85000.0,15,All Weather,Heavy,Clear,20,75,24,97604,2,318318.9,0.047619047619047616,0.47619047619047616,0.47619047619047616,C. Nakatani,J. Sharp,5,0,3,3.8,11410.083999999999,-274,0.0,0.0,83,1000,11,104.29,0.0,0,0,3,20,0,3,0
1600,85000.0,15,All Weather,Heavy,Clear,20,75,24,97604,3,636430.96,0.25,0.65625,0.65625,L. Davis,J. Sadler,5,1,3,4.8,5416.573999999999,-282,0.5,0.0,69,1000,2,100.66,17000.0,0,1,21,19,0,3,0
1600,85000.0,15,All Weather,Heavy,Clear,20,75,24,97604,7,691595.7000000001,0.25,0.575,0.575,J. Bravo,R. Mandella,5,0,2,5.0,4488.798,-275,0.0,0.0,159,1000,6,102.41,1700.0,0,0,13,31,0,3,0
1600,85000.0,15,All Weather,Heavy,Clear,20,75,24,97604,3,383799.97000000003,0.16129032258064516,0.5806451612903226,0.5806451612903226,H. Diaz Jr.,H. Bond,5,0,3,3.8,3628.22,-278,0.0,0.0,44,1000,12,103.97,0.0,0,0,10,16,0,3,0
1600,85000.0,15,All Weather,Heavy,Clear,20,75,24,97604,6,174858.91,0.11538461538461539,0.4230769230769231,0.4230769230769231,J. Lezcano,R. Rodriguez,5,1,2,6.0,5594.159999999999,-270,0.0,0.0,179,1000,4,101.71,4250.0,0,0,15,32,0,3,0
1600,85000.0,15,All Weather,Heavy,Clear,20,75,24,97604,3,308222.86,0.21739130434782608,0.6956521739130435,0.6956521739130435,T. Gaffalione,G. Motion,5,0,4,3.4,4513.34,-272,0.0,0.0,191,1000,5,101.89,2550.0,0,0,36,15,0,3,0
1200,50000.0,8,Dirt,Soft,Heavy Rain,20,85,15,439827,3,449871.62,0.19230769230769232,0.5384615384615384,0.5384615384615384,J. Smith,A. Thompson,5,1,3,4.0,7887.546,-12,0.0,0.0,1,1001,3,73.83,5000.0,0,1,17,1,1,4,4
1200,50000.0,8,Dirt,Soft,Heavy Rain,20,85,15,439827,4,517603.45999999996,0.3333333333333333,0.7916666666666666,0.7916666666666666,M. Johnson,B. Anderson,5,2,4,2.6,22410.498,-11,0.0,0.3333333333333333,2,1001,5,73.49,1500.0,0,0,26,2,1,4,4
1200,50000.0,8,Dirt,Soft,Heavy Rain,20,85,15,439827,5,578712.6399999999,0.2222222222222222,0.5555555555555556,0.5555555555555556,R. Williams,C. Taylor,5,0,2,4.4,3448.78,-23,0.0,0.0,3,1001,1,73.01,30000.0,1,1,33,7,1,4,4
1200,50000.0,8,Dirt,Soft,Heavy Rain,20,85,15,439827,6,496924.04,0.10714285714285714,0.35714285714285715,0.35714285714285715,S. Brown,D. Moore,5,2,3,5.0,14683.327999999998,-7,0.0,0.5,4,1001,6,74.9,1000.0,0,0,34,9,1,4,4
1200,50000.0,8,Dirt,Soft,Heavy Rain,20,85,15,439827,7,805446.36,0.39285714285714285,0.6071428571428571,0.6071428571428571,T. Davis,E. Jackson,5,1,2,5.2,7902.37,-8,0.0,0.0,5,1001,4,73.84,2500.0,0,0,35,11,1,4,4
1200,50000.0,8,Dirt,Soft,Heavy Rain,20,85,15,439827,3,324243.31,0.10344827586206896,0.5517241379310345,0.5517241379310345,K. Wilson,F. White,5,1,2,5.6,8747.568,-4,0.0,0.0,6,1001,7,74.95,0.0,0,0,20,12,1,4,4
1200,50000.0,8,Dirt,Soft,Heavy Rain,20,85,15,439827,4,467517.95,0.2608695652173913,0.5652173913043478,0.5652173913043478,L. Garcia,G. Harris,5,0,3,3.8,5421.839999999999,-17,0.0,0.0,7,1001,2,73.46,10000.0,0,1,22,13,1,4,4
